,ImageName,Categories,Questions
0,CLEVR_new_000000.png,two_hop.json,There is a text bottom the 6 paragraph; what number of 6 journal paragraphs are top-right it?
1,CLEVR_new_000000.png,two_hop.json,There is a text that is bottom the 6 paragraph; how many 6 texts are top it?
2,CLEVR_new_000000.png,two_hop.json,There is a text that is bottom the 6 paragraph; how many 7 paragraphs are left it?
3,CLEVR_new_000000.png,two_hop.json,What number of journal titles are top the text bottom the 6 paragraph?
4,CLEVR_new_000000.png,two_hop.json,There is a text that is bottom the 6 paragraph; how many 2 texts are top-right it?
5,CLEVR_new_000000.png,two_hop.json,There is a text that is bottom the 6 paragraph; how many texts are top it?
6,CLEVR_new_000000.png,two_hop.json,There is a text bottom the 6 paragraph; what number of 5 paragraphs are top it?
7,CLEVR_new_000000.png,two_hop.json,What number of 5 texts are left the text bottom the 6 paragraph?
8,CLEVR_new_000000.png,two_hop.json,There is a text bottom the 6 paragraph; how many 3 paragraphs are top it?
9,CLEVR_new_000000.png,two_hop.json,What number of 7 texts are top-right the text bottom the 6 paragraph?
10,CLEVR_new_000000.png,two_hop.json,Is there a 4 text that is top the journal paragraph top the 2 text?
11,CLEVR_new_000000.png,two_hop.json,There is a journal paragraph that is top the 2 text; are there any 1 texts bottom it?
12,CLEVR_new_000000.png,two_hop.json,Is there a 1 journal paragraph that is right the journal paragraph top the 2 text?
13,CLEVR_new_000000.png,two_hop.json,There is a journal paragraph that is top the 2 text; are there any 3 paragraphs that are bottom it?
14,CLEVR_new_000000.png,two_hop.json,There is a journal paragraph top the 2 text; is there a 7 journal text top-right it?
15,CLEVR_new_000000.png,two_hop.json,There is a journal paragraph that is top the 2 text; are there any 0 paragraphs bottom it?
16,CLEVR_new_000000.png,two_hop.json,There is a journal paragraph that is top the 2 text; is there a 6 journal paragraph that is top-right it?
17,CLEVR_new_000000.png,two_hop.json,There is a journal paragraph that is top the 2 text; are there any 3 journal paragraphs bottom it?
18,CLEVR_new_000000.png,two_hop.json,Is there a 2 journal text top-right the journal paragraph that is top the 2 text?
19,CLEVR_new_000000.png,two_hop.json,There is a journal paragraph top the 2 text; are there any 0 journal texts bottom it?
20,CLEVR_new_000000.png,one_hop.json,There is a title; what number of 1 paragraphs are bottom-right it?
21,CLEVR_new_000000.png,one_hop.json,How many journal texts are top the title?
22,CLEVR_new_000000.png,one_hop.json,How many paragraphs are top-right the title?
23,CLEVR_new_000000.png,one_hop.json,There is a title; how many 7 paragraphs are bottom it?
24,CLEVR_new_000000.png,one_hop.json,There is a title; what number of 7 journal paragraphs are bottom it?
25,CLEVR_new_000000.png,one_hop.json,There is a title; how many 3 journal paragraphs are bottom it?
26,CLEVR_new_000000.png,one_hop.json,There is a title; how many 0 journal paragraphs are bottom it?
27,CLEVR_new_000000.png,one_hop.json,There is a title; how many 2 paragraphs are top it?
28,CLEVR_new_000000.png,one_hop.json,What number of journal texts are bottom the title?
29,CLEVR_new_000000.png,one_hop.json,There is a title; what number of 7 texts are bottom-right it?
